Id,Price
4567,165599.96805572195
5925,121079.2069482397
960,148054.54853926497
3848,139601.9598964015
746,210436.88372608682
868,319166.42742572195
672,119315.91770399685
2471,215767.3613174826
4510,131784.43592565568
8354,254577.7930837924
6393,191054.16520486993
13270,208613.17358058182
5250,280579.38199994864
16751,168737.12064725798
11404,129763.57736390815
10588,323227.7819523636
14925,196199.17205639757
6791,200691.72749322784
16097,191837.98126782876
16428,367528.31987098325
6945,367403.496446187
3190,187342.42442648363
15709,448047.5760119442
13155,150168.96202772908
7675,190588.67043648273
14686,233035.54651861975
609,155628.5606997974
11155,156742.59438742604
10869,200481.00561399176
15742,240613.7976787153
9245,226565.60736307185
3340,180212.97602546014
2359,277200.5249772987
8070,194497.7369504287
13707,126998.22565711621
16079,247190.92783209076
15937,270854.54701472487
14090,181330.0923523234
9008,202816.14369127434
16384,172745.14395229096
11657,233596.34309306697
13151,144431.01689153924
8990,172787.96192874506
11857,184679.40263813612
1565,143184.8384223327
8174,115207.07862617123
9247,258689.40481788185
10478,216462.67413996148
15509,145227.8812204609
8306,222661.100544399
6642,179120.57634336152
7472,210266.5486194378
15989,131139.3398872339
13682,141830.03090422615
163,370642.2417902532
7076,209698.74786994795
7478,404149.3278816612
3029,184198.45278140687
1814,145858.75202965498
10057,126650.40872170671
15100,197661.06033710545
12694,222709.40914088627
6291,190803.52020198852
12603,180099.67567184247
3218,235270.14912345324
13456,125266.18020726132
10170,238674.57934773472
4530,166225.87968152636
13329,192607.01113210715
4820,147628.40318779674
10896,172716.56124424012
13416,115524.02340975043
2701,219764.79789371006
11265,356208.25126450974
9189,313757.4022839511
1858,196111.2240068786
14536,231258.33810295537
6199,247555.51259583287
14730,154055.5530814976
7510,266515.59645198274
15505,169888.87644427203
7446,173851.8083853104
14016,198128.5052533901
14113,105100.99968484252
8721,288649.5045143263
6193,351221.1483257972
5717,175667.2568886784
5427,278560.1970775718
9520,491289.21478187013
6869,100825.46135479807
1658,163988.02098347223
6639,215206.5444851401
6283,189059.01742560006
6257,124902.07421033819
15235,173601.2238480548
902,241071.14363959696
8932,204231.5034861071
16469,380531.3236006792
2825,259693.86494962403
6450,421129.2329191916
11366,174547.9287853734
3801,370147.82082887454
11385,194843.47220313482
1079,211925.72558509113
3202,211969.3282774326
676,214003.67140694195
6185,278031.3966214383
7730,162106.94439558568
2573,209143.94124143693
10978,232253.87317080493
10962,263862.5797116678
8870,190248.01851345494
8496,184768.63334017585
5517,149838.47682068762
927,176944.7146516429
13675,204396.24108404745
1499,217842.33370652146
15536,307640.34231154073
8602,327320.22263414174
12137,381557.86125104484
9865,236767.50215879997
16353,275492.72813922993
15908,207481.8901987604
3944,185317.81245248378
10359,200126.07612964476
15158,228040.49581774164
3259,226255.96049069645
7220,318222.98849120206
13843,208054.13725528066
16736,193946.54853993992
702,242556.3105984895
16401,345316.3614259836
12134,194375.64141801302
6918,172685.38285448894
11792,122583.84798505135
3798,196559.37369366898
10395,140627.01481356967
11099,140719.02782855937
7090,200645.67127790055
11260,189114.07465397986
9647,209280.64335651154
2903,389798.57167612604
2071,182917.50317131332
8604,201481.3876096293
9346,220169.62546643175
3945,210519.8901611774
3420,143804.22721897444
10842,110483.63947850303
725,162123.0913938657
13931,211298.68709896636
16330,240304.17430722117
9066,415664.887433832
3326,318659.7321228473
1556,273540.01467322477
6579,129148.32578787481
13877,147498.0581094932
9857,306908.182402775
7302,291387.8625593039
5684,189661.62071558405
6513,230173.30712060115
11342,112374.65494731511
16561,225855.51492042528
6885,180731.78002976248
9308,181187.51429770194
2559,201092.5878450794
6648,177119.9862158588
15260,162686.27369860534
5113,197820.11561488727
16492,189049.3841093377
12034,278557.5638025796
7248,205778.25733584352
2171,194649.79751072807
10594,160830.21002086435
13241,194500.86896818128
7032,140112.15417769726
4884,166901.14605862356
903,201944.19177933334
162,169499.31449747097
6566,253355.9011862351
8249,146944.55135240642
13106,185867.98326258734
256,118567.48789345511
7976,200429.8446076669
8575,260420.23680245396
7591,298966.4155846266
3204,267962.1653868879
